,name,link,speed,mAP
0,ssd_mobilenet_v1_coco_2018_01_28,http://download.tensorflow.org/models/object_detection/ssd_mobilenet_v1_coco_2018_01_28.tar.gz,30,21
1,ssd_mobilenet_v2_quantized_300x300_coco_2019_01_03,http://download.tensorflow.org/models/object_detection/ssd_mobilenet_v2_quantized_300x300_coco_2019_01_03.tar.gz,29,22
2,ssdlite_mobilenet_v2_coco_2018_05_09,http://download.tensorflow.org/models/object_detection/ssdlite_mobilenet_v2_coco_2018_05_09.tar.gz,27,22
3,faster_rcnn_inception_resnet_v2_atrous_coco_2018_01_28,http://download.tensorflow.org/models/object_detection/faster_rcnn_inception_resnet_v2_atrous_coco_2018_01_28.tar.gz,620,37
4,faster_rcnn_nas_coco_2018_01_28,http://download.tensorflow.org/models/object_detection/faster_rcnn_nas_coco_2018_01_28.tar.gz,1833,43
